"ID","Area","TAZ","SEQ","STATE","COUNTY","STCNTY","TAZ_2999","DISTRICT","CENTAZ10","CENTAZ00","TRACT10","TRACT_ID","TRCTBLKGRP","CLTSPHERE","SUBCODIST","CORR","STATION","CMPC_CENTE","CMPC_SOUTH","CMPC_SOUT1","CMPC_NORTH","CMPC_NORT1","CMPC_WEST","CMPC_CENCO","SPHOFINFL","UNIONTOWNS","MPORPO2010","MPORPO2000","PUMA","PUMA_2000","ORDER","TAZ","POP","HH","POP_HHS","POP_GRP","MED_INC","LOIND","HIIND","RTL","HWY","LOSVC","HISVC","OFFGOV","EDUC","STU_K8","STU_HS","STU_CU","TOTEMP","DORM","STCNTY","AREA","SEQ","AREA_LU","DISTRICT","Multiple Fields Label"
391,1.658069,1087,391,37,159,37159,1087,28,21086,1590238,"37159051801",159051801,"0518012",,371593,,,,,,,,,,"CRMPO",,"CRMPO","CRMPO",9,"01200",391,1087,156,55,146,10,41182,0,0,0,1,3,0,0,0,0,0,0,4,0,37159,1.666990,391,1.666990,"371593","55|4"
390,1.377117,1086,390,37,159,37159,1086,28,21086,1590237,"37159051801",159051801,"0518012",,371593,,,,,,,,,,"CRMPO",,"CRMPO","CRMPO",9,"01200",390,1086,123,47,114,9,41182,0,0,0,0,0,12,0,0,0,0,0,12,0,37159,1.368195,390,1.368195,"371593","47|12"
