Alternative,TargetShare
sov,77.1
pool2,13
pool3,7.06
walk,1.75
bike,0.13
w_bus,0.09
w_prem,0.1
pnr_bus,0.03
pnr_prem,0.055
knr_bus,0.03
knr_prem,0.055
tnc,0.6
