Alternative,TargetShare
sov,34.85
pool2,30.1
pool3,23.18
walk,10.6
bike,0.58
w_bus,0.16
w_prem,0.07
pnr_bus,0
pnr_prem,0.09
knr_bus,0
knr_prem,0.09
tnc,0.28
