Alternative,Expression,Filter,Coefficient,Description
w_prem,WalkTransitSkim.[Initial Wait - Prem Walk],,-0.045,Initial Wait - Walk Premium
w_prem,WalkTransitSkim.[Transfer Wait Time - Prem Walk],,-0.06,Transfer Wait - Walk Premium
w_prem,WalkTransitSkim.[Transfer Penalty Time - Prem Walk],,-0.03,Transfer Penalty - Walk Premium
w_prem,WalkTransitSkim.[Cost - Prem Walk],Tours.INCOME = 1,-0.004478,Fare - Walk Premium: Income 1
w_prem,WalkTransitSkim.[Cost - Prem Walk],Tours.INCOME = 2,-0.002247,Fare - Walk Premium: Income 2
w_prem,WalkTransitSkim.[Cost - Prem Walk],Tours.INCOME = 3,-0.001213,Fare - Walk Premium: Income 3
w_prem,WalkTransitSkim.[Cost - Prem Walk],Tours.INCOME = 4,-0.000954,Fare - Walk Premium: Income 4
w_prem,Tours.INCOME <= 2,,3.02,Low Income Dummy - Walk Premium
sov,Constant,,0.055219,Additional Calibration Constant
pool2,Constant,,0.070576,Additional Calibration Constant
pool3,Constant,,-0.305219,Additional Calibration Constant
walk,Constant,,0.413175,Additional Calibration Constant
bike,Constant,,-0.02647,Additional Calibration Constant
w_bus,Constant,,-1.078817,Additional Calibration Constant
w_prem,Constant,,0.499417,Additional Calibration Constant
tnc,Constant,,-1.931725,Additional Calibration Constant
