Alternative,Expression,Filter,Coefficient,Description
pnr_bus,Constant,,-2.47,PNR Bus ASC
pnr_bus,DriveTransitSkim.[IVTT - Bus Drive],,-0.0304,IVTT - PNR Bus
pnr_bus,DriveTransitSkim.[Drive Access Time - Bus Drive],,-0.0304,Access Drive Time - PNR Bus
pnr_bus,DriveTransitSkim.[Initial Wait - Bus Drive],,-0.0456,Initial Wait - PNR Bus
pnr_bus,DriveTransitSkim.[Transfer Wait Time - Bus Drive],,-0.0608,Transfer Wait - PNR Bus
pnr_bus,DriveTransitSkim.[Transfer Penalty Time - Bus Drive],,-0.0304,Transfer Penalty - PNR Bus
pnr_bus,DriveTransitSkim.[Cost - Bus Drive],Tours.INCOME = 1,-0.004537,Fare - PNR Bus: Income 1
pnr_bus,DriveTransitSkim.[Cost - Bus Drive],Tours.INCOME = 2,-0.002277,Fare - PNR Bus: Income 2
pnr_bus,DriveTransitSkim.[Cost - Bus Drive],Tours.INCOME = 3,-0.001229,Fare - PNR Bus: Income 3
pnr_bus,DriveTransitSkim.[Cost - Bus Drive],Tours.INCOME = 4,-0.000967,Fare - PNR Bus: Income 4
pnr_bus,Tours.INCOME <= 2,,2.65,Low Income Dummy - PNR Bus
pnr_bus,TAZ.AType.D = 1,,1.22,CBD Destination - PNR Bus
pnr_prem,Constant,,-0.687,PNR Premium ASC
pnr_prem,DriveTransitSkim.[IVTT - Prem Drive] - 0.3*DriveTransitSkim.[Prem IVTT],,-0.0304,Discounted IVTT - PNR Premium
pnr_prem,DriveTransitSkim.[Drive Access Time - Prem Drive],,-0.0304,Access Drive Time - PNR Premium
pnr_prem,DriveTransitSkim.[Initial Wait - Prem Drive],,-0.0456,Initial Wait - PNR Premium
pnr_prem,DriveTransitSkim.[Transfer Wait Time - Prem Drive],,-0.0608,Transfer Wait - PNR Premium
pnr_prem,DriveTransitSkim.[Transfer Penalty Time - Prem Drive],,-0.0304,Transfer Penalty - PNR Premium
pnr_prem,DriveTransitSkim.[Cost - Prem Drive],Tours.INCOME = 1,-0.004537,Fare - PNR Premium: Income 1
pnr_prem,DriveTransitSkim.[Cost - Prem Drive],Tours.INCOME = 2,-0.002277,Fare - PNR Premium: Income 2
pnr_prem,DriveTransitSkim.[Cost - Prem Drive],Tours.INCOME = 3,-0.001229,Fare - PNR Premium: Income 3
pnr_prem,DriveTransitSkim.[Cost - Prem Drive],Tours.INCOME = 4,-0.000967,Fare - PNR Premium: Income 4
pnr_prem,Tours.INCOME <= 2,,2.65,Low Income Dummy - PNR Premium
pnr_prem,TAZ.AType.D = 1,,1.22,CBD Destination - PNR Premium
knr_bus,Constant,,-2.47,KNR Bus ASC
knr_bus,DropoffTransitSkim.[IVTT - Bus DropOff],,-0.0304,IVTT - KNR Bus
knr_bus,DropoffTransitSkim.[Drive Access Time - Bus DropOff],,-0.0304,Access Drive Time - KNR Bus
knr_bus,DropoffTransitSkim.[Initial Wait - Bus DropOff],,-0.0456,Initial Wait - KNR Bus
knr_bus,DropoffTransitSkim.[Transfer Wait Time - Bus DropOff],,-0.0608,Transfer Wait - KNR Bus
knr_bus,DropoffTransitSkim.[Transfer Penalty Time - Bus DropOff],,-0.0304,Transfer Penalty - KNR Bus
knr_bus,DropoffTransitSkim.[Cost - Bus DropOff],Tours.INCOME = 1,-0.004537,Fare - KNR Bus: Income 1
knr_bus,DropoffTransitSkim.[Cost - Bus DropOff],Tours.INCOME = 2,-0.002277,Fare - KNR Bus: Income 2
knr_bus,DropoffTransitSkim.[Cost - Bus DropOff],Tours.INCOME = 3,-0.001229,Fare - KNR Bus: Income 3
