Alternative,Expression,Filter,Coefficient,Description
w_prem,Tours.INCOME <= 2,,1.03,Low Income Dummy - Walk Premium
pnr_bus,Constant,,-2.46,PNR Bus ASC
pnr_bus,DriveTransitSkim.[IVTT - Bus Drive],,-0.021,IVTT - PNR Bus
pnr_bus,DriveTransitSkim.[Drive Access Time - Bus Drive],,-0.021,Access Drive Time - PNR Bus
pnr_bus,DriveTransitSkim.[Initial Wait - Bus Drive],,-0.0315,Initial Wait - PNR Bus
pnr_bus,DriveTransitSkim.[Transfer Wait Time - Bus Drive],,-0.042,Transfer Wait - PNR Bus
pnr_bus,DriveTransitSkim.[Transfer Penalty Time - Bus Drive],,-0.021,Transfer Penalty - PNR Bus
pnr_bus,DriveTransitSkim.[Cost - Bus Drive],Tours.INCOME = 1,-0.003134,Fare - PNR Bus: Income 1
pnr_bus,DriveTransitSkim.[Cost - Bus Drive],Tours.INCOME = 2,-0.001573,Fare - PNR Bus: Income 2
pnr_bus,DriveTransitSkim.[Cost - Bus Drive],Tours.INCOME = 3,-0.000849,Fare - PNR Bus: Income 3
pnr_bus,DriveTransitSkim.[Cost - Bus Drive],Tours.INCOME = 4,-0.000668,Fare - PNR Bus: Income 4
pnr_bus,Tours.INCOME <= 2,,1.03,Low Income Dummy - PNR Bus
pnr_bus,TAZ.AType.D = 1,,1.73,CBD Destination - PNR Bus
pnr_prem,Constant,,-2.08,PNR Premium ASC
pnr_prem,DriveTransitSkim.[IVTT - Prem Drive] - 0.3*DriveTransitSkim.[Prem IVTT],,-0.021,Discounted IVTT - PNR Premium
pnr_prem,DriveTransitSkim.[Drive Access Time - Prem Drive],,-0.021,Access Drive Time - PNR Premium
pnr_prem,DriveTransitSkim.[Initial Wait - Prem Drive],,-0.0315,Initial Wait - PNR Premium
pnr_prem,DriveTransitSkim.[Transfer Wait Time - Prem Drive],,-0.042,Transfer Wait - PNR Premium
pnr_prem,DriveTransitSkim.[Transfer Penalty Time - Prem Drive],,-0.021,Transfer Penalty - PNR Premium
pnr_prem,DriveTransitSkim.[Cost - Prem Drive],Tours.INCOME = 1,-0.003134,Fare - PNR Premium: Income 1
pnr_prem,DriveTransitSkim.[Cost - Prem Drive],Tours.INCOME = 2,-0.001573,Fare - PNR Premium: Income 2
pnr_prem,DriveTransitSkim.[Cost - Prem Drive],Tours.INCOME = 3,-0.000849,Fare - PNR Premium: Income 3
pnr_prem,DriveTransitSkim.[Cost - Prem Drive],Tours.INCOME = 4,-0.000668,Fare - PNR Premium: Income 4
pnr_prem,Tours.INCOME <= 2,,1.03,Low Income Dummy - PNR Premium
pnr_prem,TAZ.AType.D = 1,,1.73,CBD Destination - PNR Premium
knr_bus,Constant,,-2.46,KNR Bus ASC
knr_bus,DropoffTransitSkim.[IVTT - Bus DropOff],,-0.021,IVTT - KNR Bus
knr_bus,DropoffTransitSkim.[Drive Access Time - Bus DropOff],,-0.021,Access Drive Time - KNR Bus
knr_bus,DropoffTransitSkim.[Initial Wait - Bus DropOff],,-0.0315,Initial Wait - KNR Bus
